codigo,municipio,departamento
10103,Poroma,Chuquisaca
10101,Sucre,Chuquisaca
10102,Yotala,Chuquisaca
10201,Azurduy,Chuquisaca
10202,Tarvita,Chuquisaca
10304,Icla,Chuquisaca
10303,Mojocoya,Chuquisaca
10302,Presto,Chuquisaca
10301,Zudáñez,Chuquisaca
10404,Alcalá,Chuquisaca
10405,El Villar,Chuquisaca
10401,Padilla,Chuquisaca
10403,Sopachuy,Chuquisaca
10402,Tomina,Chuquisaca
10502,Huacareta,Chuquisaca
10501,Monteagudo,Chuquisaca
10601,Tarabuco,Chuquisaca
10602,Yamparáez,Chuquisaca
10701,Camargo,Chuquisaca
10703,Incahuasi,Chuquisaca
10702,San Lucas,Chuquisaca
10704,Villa Charcas,Chuquisaca
10801,Villa Serrano,Chuquisaca
10902,Culpina,Chuquisaca
10903,Las Carreras,Chuquisaca
10901,Villa Abecia,Chuquisaca
11002,Huacaya (Autonomía Guaraní Chaqueño De Huacaya),Chuquisaca
11003,Macharetí,Chuquisaca
11001,Villa Vaca Guzmán,Chuquisaca
20104,Achocalla,La Paz
20105,El Alto,La Paz
20103,Mecapaca,La Paz
20101,Nuestra Señora De La Paz,La Paz
20102,Palca,La Paz
20201,Achacachi,La Paz
20206,Chua Cocani,La Paz
20203,Huarina,La Paz
20205,Huatajata,La Paz
20204,Santiago De Huata,La Paz
20202,Villa Ancoraimes,La Paz
20303,Calacoto,La Paz
20302,Caquiaviri,La Paz
20305,Charaña,La Paz
20304,Comanche,La Paz
20301,Corocoro,La Paz
20307,Nazacara De Pacajes,La Paz
20308,Santiago De Callapa,La Paz
20306,Waldo Ballivián,La Paz
20405,Escoma,La Paz
20404,Humanata,La Paz
20402,Mocomoco,La Paz
20401,Puerto Acosta,La Paz
20403,Puerto Mayor De Carabuco,La Paz
20503,Aucapata,La Paz
20502,Ayata,La Paz
20501,Chuma,La Paz
20605,Combaya,La Paz
20602,Guanay,La Paz
20607,Mapiri,La Paz
20604,Quiabaya,La Paz
20601,Sorata,La Paz
20603,Tacacoma,La Paz
20608,Teoponte,La Paz
20606,Tipuani,La Paz
20701,Apolo,La Paz
20702,Pelechuco,La Paz
20804,Desaguadero,La Paz
20806,Jesús De Machaka,La Paz
20805,La (Marka) San Andrés De Machaca,La Paz
20802,Puerto Mayor De Guaqui,La Paz
20807,Taraco,La Paz
20803,Tiahuanacu,La Paz
20801,Viacha,La Paz
20905,Cairoma,La Paz
20901,Luribay,La Paz
20904,Malla,La Paz
20902,Sapahaqui,La Paz
20903,Yaco,La Paz
21003,Cajuata,La Paz
21004,Colquiri,La Paz
21005,Ichoca,La Paz
21001,Inquisivi,La Paz
21002,Quime,La Paz
21006,Villa Libertad Licoma,La Paz
21101,Chulumani,La Paz
21102,Irupana,La Paz
21105,La Asunta,La Paz
21104,Palos Blancos,La Paz
21103,Yanacachi,La Paz
21203,Batallas,La Paz
21202,Laja,La Paz
21201,Pucarani,La Paz
21204,Puerto Pérez,La Paz
21303,Ayo Ayo,La Paz
21304,Calamarca,La Paz
21307,Collana,La Paz
21306,Colquencha,La Paz
21305,Patacamaya,La Paz
21301,Sicasica,La Paz
21302,Umala,La Paz
21402,Coripata,La Paz
21401,Coroico,La Paz
21501,Ixiamas,La Paz
21502,San Buenaventura,La Paz
21601,Charazani,La Paz
21602,Curva,La Paz
21701,Copacabana,La Paz
21702,San Pedro De Tiquina,La Paz
21703,Tito Yupanqui,La Paz
21803,Chacarilla,La Paz
21802,Papel Pampa,La Paz
21801,San Pedro De Curahuara,La Paz
21902,Catacora,La Paz
21901,Santiago De Machaca,La Paz
22002,Alto Beni,La Paz
22001,Caranavi,La Paz
30101,Cochabamba,Cochabamba
30201,Aiquile,Cochabamba
30203,Omereque,Cochabamba
30202,Pasorapa,Cochabamba
30301,Ayopaya,Cochabamba
30303,Cocapata,Cochabamba
30302,Morochata,Cochabamba
30402,Anzaldo,Cochabamba
30403,Arbieto,Cochabamba
30404,Sacabamba,Cochabamba
30401,Tarata,Cochabamba
30501,Arani,Cochabamba
30502,Vacas,Cochabamba
30601,Arque,Cochabamba
30602,Tacopaya,Cochabamba
30701,Capinota,Cochabamba
30702,Santiváñez,Cochabamba
30703,Sicaya,Cochabamba
30801,Cliza,Cochabamba
30802,Toco,Cochabamba
30803,Tolata,Cochabamba
30905,Colcapirhua,Cochabamba
30901,Quillacollo,Cochabamba
30902,Sipesipe,Cochabamba
30903,Tiquipaya,Cochabamba
30904,Vinto,Cochabamba
31002,Colomi,Cochabamba
31001,Sacaba,Cochabamba
31003,Villa Tunari,Cochabamba
31101,Tapacarí,Cochabamba
31204,Chimoré,Cochabamba
31206,Entre Ríos,Cochabamba
31203,Pocona,Cochabamba
31202,Pojo,Cochabamba
31205,Puerto Villarroel,Cochabamba
31201,Totora,Cochabamba
31303,Alalay,Cochabamba
31301,Mizque,Cochabamba
31304,Tioc-Raqaypampa,Cochabamba
31302,Vila Vila,Cochabamba
31401,Punata,Cochabamba
31403,San Benito,Cochabamba
31404,Tacachi,Cochabamba
31405,Villa Gualberto Villarroel,Cochabamba
31402,Villa Rivero,Cochabamba
31501,Bolívar,Cochabamba
31602,Shinahota,Cochabamba
31601,Tiraque,Cochabamba
40102,Caracollo,Oruro
40103,El Choro,Oruro
40101,Oruro,Oruro
40104,Paria,Oruro
40201,Challapata,Oruro
40202,Santuario De Quillacas,Oruro
40302,Choquecota,Oruro
40301,Corque,Oruro
40401,Curahuara De Carangas,Oruro
40402,Turco,Oruro
40503,Cruz De Machacamarca,Oruro
40502,Escara,Oruro
40505,Esmeralda,Oruro
40501,Huachacalla,Oruro
40504,Yunguyo Del Litoral,Oruro
40603,Antequera,Oruro
40602,Pazña,Oruro
40601,Poopó,Oruro
40701,Huanuni,Oruro
40702,Machacamarca,Oruro
40802,Pampa Aullagas,Oruro
40801,Salinas De Garci Mendoza (Autonomía Indígena Originario Campesina De Salinas),Oruro
40902,Coipasa,Oruro
40901,Sabaya,Oruro
40903,Uru Chipaya (Nación Originaria Uru Chipaya),Oruro
41001,Toledo,Oruro
41101,Eucaliptus,Oruro
41201,Andamarca,Oruro
41202,Belén De Andamarca,Oruro
41301,Totora,Oruro
41401,Santiago De Huari,Oruro
41503,Carangas,Oruro
41501,La Rivera,Oruro
41502,Todos Santos,Oruro
41601,Santiago De Huayllamarca,Oruro
50101,Potosí,Potosí
50102,Tinguipaya,Potosí
50104,Urmiri,Potosí
50103,Yocalla,Potosí
50202,Chayanta,Potosí
50204,Chuquihuta Ayllu Jucumani,Potosí
50203,Llallagua,Potosí
50201,Uncía,Potosí
50301,Betanzos,Potosí
50302,Chaquí,Potosí
50303,Tacobamba,Potosí
50401,Colquechaca,Potosí
50404,Ocurí,Potosí
50403,Pocoata,Potosí
50402,Ravelo,Potosí
50405,San Pedro De Macha,Potosí
50501,San Pedro,Potosí
50502,Toro Toro,Potosí
50601,Cotagaita,Potosí
50602,Vitichi,Potosí
50702,Caripuyo,Potosí
50701,Sacaca,Potosí
50802,Atocha,Potosí
50801,Tupiza,Potosí
50901,"Colcha ""K""",Potosí
50902,San Pedro De Quemes,Potosí
51002,Mojinete,Potosí
51003,San Antonio De Esmoruco,Potosí
51001,San Pablo,Potosí
51102,"Caiza ""D""",Potosí
51103,Ckochas,Potosí
51101,Puna,Potosí
51203,Porco,Potosí
51204,Tioc-Jatun Ayllu Yura,Potosí
51202,Tomave,Potosí
51201,Uyuni,Potosí
51302,Acasio,Potosí
51301,Arampampa,Potosí
51401,Llica,Potosí
51402,Tahua,Potosí
51501,Villazón,Potosí
51601,San Agustín,Potosí
60101,Tarija,Tarija
60202,Bermejo,Tarija
60201,Padcaya,Tarija
60302,Caraparí,Tarija
60303,Villa Montes,Tarija
60301,Yacuiba,Tarija
60401,Uriondo,Tarija
60402,Yunchará,Tarija
60502,El Puente,Tarija
60501,San Lorenzo,Tarija
60601,Entre Ríos,Tarija
70102,Cotoca,Santa Cruz
70105,El Torno,Santa Cruz
70104,La Guardia,Santa Cruz
70103,Porongo,Santa Cruz
70101,Santa Cruz De La Sierra,Santa Cruz
70202,Okinawa Uno,Santa Cruz
70201,Warnes,Santa Cruz
70301,San Ignacio,Santa Cruz
70302,San Miguel,Santa Cruz
70303,San Rafael,Santa Cruz
70401,Buena Vista,Santa Cruz
70402,San Carlos,Santa Cruz
70404,San Juan,Santa Cruz
70403,Yapacaní,Santa Cruz
70502,Pailón,Santa Cruz
70503,Roboré,Santa Cruz
70501,San José,Santa Cruz
70603,Colpa Bélgica,Santa Cruz
70601,Portachuelo,Santa Cruz
70602,Santa Rosa,Santa Cruz
70707,Boyuibe,Santa Cruz
70703,Cabezas,Santa Cruz
70706,Camiri,Santa Cruz
70702,Charagua (Autonomía Guaraní Charagua Iyambae),Santa Cruz
70704,Cuevo,Santa Cruz
70705,Gutiérrez (Autonomía Indígena Kereimba Iyaambae),Santa Cruz
70701,Lagunillas,Santa Cruz
70803,Moromoro,Santa Cruz
70804,Postrervalle,Santa Cruz
70805,Pucará,Santa Cruz
70802,Trigal,Santa Cruz
70801,Vallegrande,Santa Cruz
70903,Mairana,Santa Cruz
70902,Pampagrande,Santa Cruz
70904,Quirusillas,Santa Cruz
70901,Samaipata,Santa Cruz
71004,Fernández Alonso,Santa Cruz
71002,General Saavedra,Santa Cruz
71003,Mineros,Santa Cruz
71001,Montero,Santa Cruz
71005,San Pedro,Santa Cruz
71101,Concepción,Santa Cruz
71106,Cuatro Cañadas,Santa Cruz
71104,San Antonio De Lomerio,Santa Cruz
71102,San Javier,Santa Cruz
71103,San Julián,Santa Cruz
71105,San Ramón,Santa Cruz
71201,San Matías,Santa Cruz
71301,Comarapa,Santa Cruz
71302,Saipina,Santa Cruz
71403,El Carmen Rivero Tórrez,Santa Cruz
71402,Puerto Quijarro,Santa Cruz
71401,Puerto Suárez,Santa Cruz
71501,Ascención De Guarayos,Santa Cruz
71503,El Puente,Santa Cruz
71502,Urubichá,Santa Cruz
80102,San Javier,Beni
80101,Trinidad,Beni
80202,Guayaramerín,Beni
80201,Riberalta,Beni
80304,Puerto Menor De Rurrenabaque,Beni
80301,Reyes,Beni
80302,San Borja,Beni
80303,Santa Rosa,Beni
80402,Exaltación,Beni
80401,Santa Ana,Beni
80501,San Ignacio,Beni
80601,Loreto,Beni
80602,San Andrés,Beni
80703,Puerto Siles,Beni
80701,San Joaquín,Beni
80702,San Ramón,Beni
80802,Baures,Beni
80803,Huacaraje,Beni
80801,Magdalena,Beni
80901,Tioc-Territorio Indígena Multiétnico,Beni
90104,Bella Flor,Pando
90103,Bolpebra,Pando
90101,Cobija,Pando
90102,Porvenir,Pando
90203,Filadelfia,Pando
90201,Puerto Rico,Pando
90202,San Pedro,Pando
90301,Puerto Gonzalo Moreno,Pando
90302,San Lorenzo,Pando
90303,Sena,Pando
90402,Ingavi,Pando
90401,Santa Rosa,Pando
90501,Nueva Esperanza,Pando
90503,Santos Mercado,Pando
90502,Villa Nueva,Pando
